"SiteSubsitePlot","SITE","SUBSITE","PLOT","MOISTURE","LAT","LONG","ELEV","SurveyedArea","AlpArc","lat_grid","lon_grid","gridcell","Region","TempAvSum","PrecipAnn","FRic_slopes","FEve_slopes","SR_slopes","FDis_slopes","ShrubCover_slopes","GraminoidCover_slopes","ForbCover_slopes","WarmQSlope","PrecSlope"
"ABISKO:ABISKODRY_PADDUS:CTL_1","ABISKO","ABISKODRY_PADDUS","CTL_1","MOIST",68.1933,18.5115,544,0.25,"Arctic",68,18.5,"68_18.5","Eurasia",9.9,499,-0.159611918952131,0.00492932125679247,0.333333333333331,0.0214343907764898,1.02339181286551,-2.25730994152045,1.23391812865496,0.0301958937872026,8.67927170868354
"ABISKO:ABISKODRY_PADDUS:CTL_2","ABISKO","ABISKODRY_PADDUS","CTL_2","MOIST",68.1933,18.5115,544,0.25,"Arctic",68,18.5,"68_18.5","Eurasia",9.9,499,-1.20835982376987,-0.0231638525036151,-0.33333333333333,0.00564591536161669,-0.332044801268694,-0.126375260184359,0.458420061453063,0.0301958937872026,8.67927170868354
"ABISKO:ABISKODRY_PADDUS:CTL_3","ABISKO","ABISKODRY_PADDUS","CTL_3","MOIST",68.1933,18.5115,544,0.25,"Arctic",68,18.5,"68_18.5","Eurasia",9.9,499,1.09770774127221,-0.00483771257160544,0.499999999999996,0.137927082331046,-3.31444101952202,0.159093168937057,3.15534785058496,0.0301958937872026,8.67927170868354
"ABISKO:ABISKODRY_PADDUS:CTL_4","ABISKO","ABISKODRY_PADDUS","CTL_4","MOIST",68.1933,18.5115,544,0.25,"Arctic",68,18.5,"68_18.5","Eurasia",9.9,499,0.471417082453247,-0.0299663897854719,-0.666666666666661,0.0298093760581182,-0.329411764705881,-1.87450980392155,2.20392156862743,0.0301958937872026,8.67927170868354
"ABISKO:ABISKODRY_PADDUS:CTL_5","ABISKO","ABISKODRY_PADDUS","CTL_5","MOIST",68.1933,18.5115,544,0.25,"Arctic",68,18.5,"68_18.5","Eurasia",9.9,499,-0.02048237236405,0.0160918744498365,4.1869132231567e-16,0.0487557815220562,-0.644841269841261,-0.11574074074074,0.760582010582011,0.0301958937872026,8.67927170868354
"ABISKO:ABISKODRY_PADDUS:CTL_6","ABISKO","ABISKODRY_PADDUS","CTL_6","MOIST",68.1933,18.5115,544,0.25,"Arctic",68,18.5,"68_18.5","Eurasia",9.9,499,0.329346682663564,-0.0476681958069284,0.666666666666662,-0.103323231243046,0.0981280193236842,-0.445350241545889,0.347222222222219,0.0301958937872026,8.67927170868354
"ABISKO:ABISKOWET_FLUX:1_CTL","ABISKO","ABISKOWET_FLUX","1_CTL",NA,68.20462,18.49582,400,0.0484,"Arctic",68,18,"68_18","Eurasia",8.9,635,-0.889161071486891,0.0104128098860431,-0.63157894736853,0.00644927870741137,2.04018516128909,-0.789623367641606,-1.25056179364749,0.0301588213410369,10.1521008403362
"ABISKO:ABISKOWET_FLUX:2_CTL","ABISKO","ABISKOWET_FLUX","2_CTL",NA,68.20462,18.49582,400,0.0484,"Arctic",68,18,"68_18","Eurasia",8.9,635,-0.523444678580621,0.0259267215694074,-0.208791208791199,-0.0759180511491455,-1.36008893752935,1.78184706844641,-0.421758130917019,0.0301588213410369,10.1521008403362
"ABISKO:ABISKOWET_FLUX:3_CTL","ABISKO","ABISKOWET_FLUX","3_CTL",NA,68.20462,18.49582,400,0.0484,"Arctic",68,18,"68_18","Eurasia",8.9,635,0.746965128595403,-0.0314084926154183,0.50549450549449,-0.104841938632784,4.08446943355988,-3.53835052646349,-0.546118907096386,0.0301588213410369,10.1521008403362
"ABISKO:ABISKOWET_FLUX:4_CTL","ABISKO","ABISKOWET_FLUX","4_CTL",NA,68.20462,18.49582,400,0.0484,"Arctic",68,18,"68_18","Eurasia",8.9,635,-0.475763665718035,-0.0304621647844212,-0.164835164835171,-0.0693636213553876,2.29211124686053,-2.16102706372825,-0.131084183132253,0.0301588213410369,10.1521008403362
"ABISKO:ABISKOWET_FLUX:5_CTL","ABISKO","ABISKOWET_FLUX","5_CTL",NA,68.20462,18.49582,400,0.0484,"Arctic",68,18,"68_18","Eurasia",8.9,635,-0.898609865003103,0.0310473460641585,-0.263736263736261,0.0155572885444601,0.224223218740169,-0.846088850250525,0.621865631510361,0.0301588213410369,10.1521008403362
