"row_ID","SiteSubsitePlotYear","SiteSubsitePlot","SiteSubsite","SITE","SUBSITE","PLOT","YEAR","YEAR_earliest","YEAR_latest","Repeats","ValueType","Method","SurveyedArea","LAT","LONG","lat_grid","lon_grid","gridcell","Region","FRic","FEve","SR","FDis","qual.FRic","AlpArc","AZONE","ELEV","MOISTURE","TempSeas","TempMaxSum","TempMinWin","TempAvSum","TempAvWin","PrecipAnn","PrecipSeas","SnowAnn","permafrost","ShrubCover","GraminoidCover","ForbCover","PlotDominatingFG","Duration"
1,"ABISKO:ABISKODRY_PADDUS:CTL_1:2008","ABISKO:ABISKODRY_PADDUS:CTL_1","ABISKO:ABISKODRY_PADDUS","ABISKO","ABISKODRY_PADDUS","CTL_1",2008,2008,2014,2,"pf_all_plot","Point-framing (sum)",0.25,68.1933,18.5115,68,18.5,"68_18.5","Eurasia",22.4962108213374,0.688431294369991,11,2.60278708552369,0.803650790538565,"Arctic","LOW",544,"MOIST",8562,14.2,-16.2,9.9,-13,499,30,342,"none",66.6666666666666,29.3333333333333,4,"Shrub-Dominated",6
2,"ABISKO:ABISKODRY_PADDUS:CTL_1:2014","ABISKO:ABISKODRY_PADDUS:CTL_1","ABISKO:ABISKODRY_PADDUS","ABISKO","ABISKODRY_PADDUS","CTL_1",2014,2008,2014,2,"pf_all_plot","Point-framing (sum)",0.25,68.1933,18.5115,68,18.5,"68_18.5","Eurasia",21.5385393076246,0.718007221910746,13,2.73139343018263,0.823558562105037,"Arctic","LOW",544,"MOIST",8562,14.2,-16.2,9.9,-13,499,30,342,"none",72.8070175438597,15.7894736842105,11.4035087719298,"Shrub-Dominated",6
3,"ABISKO:ABISKODRY_PADDUS:CTL_2:2008","ABISKO:ABISKODRY_PADDUS:CTL_2","ABISKO:ABISKODRY_PADDUS","ABISKO","ABISKODRY_PADDUS","CTL_2",2008,2008,2014,2,"pf_all_plot","Point-framing (sum)",0.25,68.1933,18.5115,68,18.5,"68_18.5","Eurasia",26.0463783641014,0.630841075501695,12,2.03081199056077,0.806212693394013,"Arctic","LOW",544,"MOIST",8562,14.2,-16.2,9.9,-13,499,30,342,"none",93.2203389830508,3.38983050847458,3.38983050847458,"Shrub-Dominated",6
4,"ABISKO:ABISKODRY_PADDUS:CTL_2:2014","ABISKO:ABISKODRY_PADDUS:CTL_2","ABISKO:ABISKODRY_PADDUS","ABISKO","ABISKODRY_PADDUS","CTL_2",2014,2008,2014,2,"pf_all_plot","Point-framing (sum)",0.25,68.1933,18.5115,68,18.5,"68_18.5","Eurasia",18.7962194214821,0.491857960480003,10,2.06468748273047,0.888808969833345,"Arctic","LOW",544,"MOIST",8562,14.2,-16.2,9.9,-13,499,30,342,"none",91.2280701754386,2.63157894736842,6.14035087719298,"Shrub-Dominated",6
5,"ABISKO:ABISKODRY_PADDUS:CTL_3:2008","ABISKO:ABISKODRY_PADDUS:CTL_3","ABISKO:ABISKODRY_PADDUS","ABISKO","ABISKODRY_PADDUS","CTL_3",2008,2008,2014,2,"pf_all_plot","Point-framing (sum)",0.25,68.1933,18.5115,68,18.5,"68_18.5","Eurasia",24.8147591801823,0.515716472695124,12,1.8683765461625,0.810665272286634,"Arctic","LOW",544,"MOIST",8562,14.2,-16.2,9.9,-13,499,30,342,"none",92.9203539823009,3.53982300884956,3.53982300884956,"Shrub-Dominated",6
6,"ABISKO:ABISKODRY_PADDUS:CTL_3:2014","ABISKO:ABISKODRY_PADDUS:CTL_3","ABISKO:ABISKODRY_PADDUS","ABISKO","ABISKODRY_PADDUS","CTL_3",2014,2008,2014,2,"pf_all_plot","Point-framing (sum)",0.25,68.1933,18.5115,68,18.5,"68_18.5","Eurasia",31.4010056278156,0.486690197265491,15,2.69593904014878,0.747324239144482,"Arctic","LOW",544,"MOIST",8562,14.2,-16.2,9.9,-13,499,30,342,"none",73.0337078651686,4.49438202247191,22.4719101123595,"Shrub-Dominated",6
7,"ABISKO:ABISKODRY_PADDUS:CTL_4:2008","ABISKO:ABISKODRY_PADDUS:CTL_4","ABISKO:ABISKODRY_PADDUS","ABISKO","ABISKODRY_PADDUS","CTL_4",2008,2008,2014,2,"pf_all_plot","Point-framing (sum)",0.25,68.1933,18.5115,68,18.5,"68_18.5","Eurasia",23.5317439996051,0.585223345663203,16,2.08303647772726,0.80292070809625,"Arctic","LOW",544,"MOIST",8562,14.2,-16.2,9.9,-13,499,30,342,"none",80.8,13.6,5.6,"Shrub-Dominated",6
8,"ABISKO:ABISKODRY_PADDUS:CTL_4:2014","ABISKO:ABISKODRY_PADDUS:CTL_4","ABISKO:ABISKODRY_PADDUS","ABISKO","ABISKODRY_PADDUS","CTL_4",2014,2008,2014,2,"pf_all_plot","Point-framing (sum)",0.25,68.1933,18.5115,68,18.5,"68_18.5","Eurasia",26.3602464943246,0.40542500695037,12,2.26189273407597,0.748766877079446,"Arctic","LOW",544,"MOIST",8562,14.2,-16.2,9.9,-13,499,30,342,"none",78.8235294117647,2.35294117647059,18.8235294117647,"Shrub-Dominated",6
9,"ABISKO:ABISKODRY_PADDUS:CTL_5:2008","ABISKO:ABISKODRY_PADDUS:CTL_5","ABISKO:ABISKODRY_PADDUS","ABISKO","ABISKODRY_PADDUS","CTL_5",2008,2008,2014,2,"pf_all_plot","Point-framing (sum)",0.25,68.1933,18.5115,68,18.5,"68_18.5","Eurasia",26.3315691743316,0.61243675627567,14,2.28339426538475,0.791878464634436,"Arctic","LOW",544,"MOIST",8562,14.2,-16.2,9.9,-13,499,30,342,"none",80.952380952381,5.55555555555556,13.4920634920635,"Shrub-Dominated",6
10,"ABISKO:ABISKODRY_PADDUS:CTL_5:2014","ABISKO:ABISKODRY_PADDUS:CTL_5","ABISKO:ABISKODRY_PADDUS","ABISKO","ABISKODRY_PADDUS","CTL_5",2014,2008,2014,2,"pf_all_plot","Point-framing (sum)",0.25,68.1933,18.5115,68,18.5,"68_18.5","Eurasia",26.2086749401473,0.70898800297469,14,2.57592895451709,0.841265316158108,"Arctic","LOW",544,"MOIST",8562,14.2,-16.2,9.9,-13,499,30,342,"none",77.0833333333334,4.86111111111111,18.0555555555556,"Shrub-Dominated",6
11,"ABISKO:ABISKODRY_PADDUS:CTL_6:2008","ABISKO:ABISKODRY_PADDUS:CTL_6","ABISKO:ABISKODRY_PADDUS","ABISKO","ABISKODRY_PADDUS","CTL_6",2008,2008,2014,2,"pf_all_plot","Point-framing (sum)",0.25,68.1933,18.5115,68,18.5,"68_18.5","Eurasia",17.0807984813419,0.773024949423599,7,2.25369819808668,0.925576585238066,"Arctic","LOW",544,"MOIST",8562,14.2,-16.2,9.9,-13,499,30,342,"none",94.2028985507246,5.79710144927536,0,"Shrub-Dominated",6
12,"ABISKO:ABISKODRY_PADDUS:CTL_6:2014","ABISKO:ABISKODRY_PADDUS:CTL_6","ABISKO:ABISKODRY_PADDUS","ABISKO","ABISKODRY_PADDUS","CTL_6",2014,2008,2014,2,"pf_all_plot","Point-framing (sum)",0.25,68.1933,18.5115,68,18.5,"68_18.5","Eurasia",19.0568785773233,0.487015774582026,11,1.6337588106284,0.919228822586938,"Arctic","LOW",544,"MOIST",8562,14.2,-16.2,9.9,-13,499,30,342,"none",94.7916666666667,3.125,2.08333333333333,"Shrub-Dominated",6
13,"ABISKO:ABISKOWET_FLUX:1_CTL:2007","ABISKO:ABISKOWET_FLUX:1_CTL","ABISKO:ABISKOWET_FLUX","ABISKO","ABISKOWET_FLUX","1_CTL",2007,2007,2012,3,"pf_all_plot","Point-framing (sum)",0.0484,68.20462,18.49582,68,18,"68_18","Eurasia",24.6699018891711,0.721235461331282,12,2.59663045508059,0.758664446121845,"Arctic","LOW",400,NA,8522,13.2,-17.1,8.9,-13.9,635,30,438,"none",48.4662576687117,41.1042944785276,10.4294478527607,"None",5
14,"ABISKO:ABISKOWET_FLUX:1_CTL:2010","ABISKO:ABISKOWET_FLUX:1_CTL","ABISKO:ABISKOWET_FLUX","ABISKO","ABISKOWET_FLUX","1_CTL",2010,2007,2012,3,"pf_all_plot","Point-framing (sum)",0.0484,68.20462,18.49582,68,18,"68_18","Eurasia",20.4463867996091,0.70541914032293,9,2.81996755601793,0.78221195190021,"Arctic","LOW",400,NA,8522,13.2,-17.1,8.9,-13.9,635,30,438,"none",49.3150684931507,45.2054794520548,5.47945205479452,"None",5
15,"ABISKO:ABISKOWET_FLUX:1_CTL:2012","ABISKO:ABISKOWET_FLUX:1_CTL","ABISKO:ABISKOWET_FLUX","ABISKO","ABISKOWET_FLUX","1_CTL",2012,2007,2012,3,"pf_all_plot","Point-framing (sum)",0.0484,68.20462,18.49582,68,18,"68_18","Eurasia",20.4463867996091,0.780021617999549,9,2.59973552507265,0.78221195190021,"Arctic","LOW",400,NA,8522,13.2,-17.1,8.9,-13.9,635,30,438,"none",59.4202898550725,36.231884057971,4.34782608695652,"Shrub-Dominated",5
16,"ABISKO:ABISKOWET_FLUX:2_CTL:2006","ABISKO:ABISKOWET_FLUX:2_CTL","ABISKO:ABISKOWET_FLUX","ABISKO","ABISKOWET_FLUX","2_CTL",2006,2006,2012,4,"pf_all_plot","Point-framing (sum)",0.0484,68.20462,18.49582,68,18,"68_18","Eurasia",19.5218429014844,0.698854249358529,9,2.56293989963297,0.887905244699465,"Arctic","LOW",400,NA,8522,13.2,-17.1,8.9,-13.9,635,30,438,"none",50.4504504504504,45.045045045045,4.5045045045045,"Shrub-Dominated",6
17,"ABISKO:ABISKOWET_FLUX:2_CTL:2007","ABISKO:ABISKOWET_FLUX:2_CTL","ABISKO:ABISKOWET_FLUX","ABISKO","ABISKOWET_FLUX","2_CTL",2007,2006,2012,4,"pf_all_plot","Point-framing (sum)",0.0484,68.20462,18.49582,68,18,"68_18","Eurasia",27.0606111505746,0.540135889400442,11,2.56332102943136,0.796742455325965,"Arctic","LOW",400,NA,8522,13.2,-17.1,8.9,-13.9,635,30,438,"none",39.4736842105263,55.2631578947368,5.26315789473684,"Graminoid-Dominated",6
18,"ABISKO:ABISKOWET_FLUX:2_CTL:2010","ABISKO:ABISKOWET_FLUX:2_CTL","ABISKO:ABISKOWET_FLUX","ABISKO","ABISKOWET_FLUX","2_CTL",2010,2006,2012,4,"pf_all_plot","Point-framing (sum)",0.0484,68.20462,18.49582,68,18,"68_18","Eurasia",18.2178253462852,0.733742473485243,8,2.24697276383714,0.88796875825802,"Arctic","LOW",400,NA,8522,13.2,-17.1,8.9,-13.9,635,30,438,"none",33.6956521739131,63.0434782608696,3.26086956521739,"Graminoid-Dominated",6
19,"ABISKO:ABISKOWET_FLUX:2_CTL:2012","ABISKO:ABISKOWET_FLUX:2_CTL","ABISKO:ABISKOWET_FLUX","ABISKO","ABISKOWET_FLUX","2_CTL",2012,2006,2012,4,"pf_all_plot","Point-framing (sum)",0.0484,68.20462,18.49582,68,18,"68_18","Eurasia",20.4186121144681,0.78145902031822,9,2.15324458678647,0.891316893018268,"Arctic","LOW",400,NA,8522,13.2,-17.1,8.9,-13.9,635,30,438,"none",41.4634146341464,56.0975609756098,2.4390243902439,"Graminoid-Dominated",6
20,"ABISKO:ABISKOWET_FLUX:3_CTL:2006","ABISKO:ABISKOWET_FLUX:3_CTL","ABISKO:ABISKOWET_FLUX","ABISKO","ABISKOWET_FLUX","3_CTL",2006,2006,2012,4,"pf_all_plot","Point-framing (sum)",0.0484,68.20462,18.49582,68,18,"68_18","Eurasia",18.2341572900203,0.756884490105867,7,2.48317262528514,0.908292780571582,"Arctic","LOW",400,NA,8522,13.2,-17.1,8.9,-13.9,635,30,438,"none",58.0357142857143,33.9285714285714,8.03571428571428,"Shrub-Dominated",6
21,"ABISKO:ABISKOWET_FLUX:3_CTL:2007","ABISKO:ABISKOWET_FLUX:3_CTL","ABISKO:ABISKOWET_FLUX","ABISKO","ABISKOWET_FLUX","3_CTL",2007,2006,2012,4,"pf_all_plot","Point-framing (sum)",0.0484,68.20462,18.49582,68,18,"68_18","Eurasia",13.2140060426434,0.688926323406983,6,2.96084902614988,0.918249225702183,"Arctic","LOW",400,NA,8522,13.2,-17.1,8.9,-13.9,635,30,438,"none",50,46.3768115942029,3.6231884057971,"Shrub-Dominated",6
22,"ABISKO:ABISKOWET_FLUX:3_CTL:2010","ABISKO:ABISKOWET_FLUX:3_CTL","ABISKO:ABISKOWET_FLUX","ABISKO","ABISKOWET_FLUX","3_CTL",2010,2006,2012,4,"pf_all_plot","Point-framing (sum)",0.0484,68.20462,18.49582,68,18,"68_18","Eurasia",11.4875286770462,0.667754193060747,7,2.38330612531729,0.910396924846336,"Arctic","LOW",400,NA,8522,13.2,-17.1,8.9,-13.9,635,30,438,"none",62.8205128205129,33.3333333333333,3.84615384615385,"Shrub-Dominated",6
23,"ABISKO:ABISKOWET_FLUX:3_CTL:2012","ABISKO:ABISKOWET_FLUX:3_CTL","ABISKO:ABISKOWET_FLUX","ABISKO","ABISKOWET_FLUX","3_CTL",2012,2006,2012,4,"pf_all_plot","Point-framing (sum)",0.0484,68.20462,18.49582,68,18,"68_18","Eurasia",23.3546119850524,0.534713066285121,10,2.04489961684735,0.826808083328892,"Arctic","LOW",400,NA,8522,13.2,-17.1,8.9,-13.9,635,30,438,"none",80.4597701149425,16.0919540229885,3.44827586206897,"Shrub-Dominated",6
24,"ABISKO:ABISKOWET_FLUX:4_CTL:2006","ABISKO:ABISKOWET_FLUX:4_CTL","ABISKO:ABISKOWET_FLUX","ABISKO","ABISKOWET_FLUX","4_CTL",2006,2006,2012,4,"pf_all_plot","Point-framing (sum)",0.0484,68.20462,18.49582,68,18,"68_18","Eurasia",24.038139143898,0.507402683355774,12,2.3223346314974,0.808268707032894,"Arctic","LOW",400,NA,8522,13.2,-17.1,8.9,-13.9,635,30,438,"none",78.7709497206703,17.3184357541899,3.91061452513966,"Shrub-Dominated",6
25,"ABISKO:ABISKOWET_FLUX:4_CTL:2007","ABISKO:ABISKOWET_FLUX:4_CTL","ABISKO:ABISKOWET_FLUX","ABISKO","ABISKOWET_FLUX","4_CTL",2007,2006,2012,4,"pf_all_plot","Point-framing (sum)",0.0484,68.20462,18.49582,68,18,"68_18","Eurasia",17.1783720852376,0.712939684228769,9,2.4272552895877,0.837331894726795,"Arctic","LOW",400,NA,8522,13.2,-17.1,8.9,-13.9,635,30,438,"none",61.0655737704918,33.6065573770492,5.32786885245902,"Shrub-Dominated",6
26,"ABISKO:ABISKOWET_FLUX:4_CTL:2010","ABISKO:ABISKOWET_FLUX:4_CTL","ABISKO:ABISKOWET_FLUX","ABISKO","ABISKOWET_FLUX","4_CTL",2010,2006,2012,4,"pf_all_plot","Point-framing (sum)",0.0484,68.20462,18.49582,68,18,"68_18","Eurasia",20.1289981299288,0.609034639027976,10,2.41514317223026,0.825899463178587,"Arctic","LOW",400,NA,8522,13.2,-17.1,8.9,-13.9,635,30,438,"none",76.2295081967213,18.0327868852459,5.73770491803279,"Shrub-Dominated",6
27,"ABISKO:ABISKOWET_FLUX:4_CTL:2012","ABISKO:ABISKOWET_FLUX:4_CTL","ABISKO:ABISKOWET_FLUX","ABISKO","ABISKOWET_FLUX","4_CTL",2012,2006,2012,4,"pf_all_plot","Point-framing (sum)",0.0484,68.20462,18.49582,68,18,"68_18","Eurasia",18.5175885345813,0.365752085845582,10,1.85758942839181,0.814285423712624,"Arctic","LOW",400,NA,8522,13.2,-17.1,8.9,-13.9,635,30,438,"none",86.2595419847329,10.6870229007634,3.05343511450382,"Shrub-Dominated",6
28,"ABISKO:ABISKOWET_FLUX:5_CTL:2006","ABISKO:ABISKOWET_FLUX:5_CTL","ABISKO:ABISKOWET_FLUX","ABISKO","ABISKOWET_FLUX","5_CTL",2006,2006,2012,4,"pf_all_plot","Point-framing (sum)",0.0484,68.20462,18.49582,68,18,"68_18","Eurasia",18.4980116450239,0.576727858853796,9,2.16443732042042,0.933992988824166,"Arctic","LOW",400,NA,8522,13.2,-17.1,8.9,-13.9,635,30,438,"none",77.5510204081632,20.4081632653061,2.04081632653061,"Shrub-Dominated",6
29,"ABISKO:ABISKOWET_FLUX:5_CTL:2007","ABISKO:ABISKOWET_FLUX:5_CTL","ABISKO:ABISKOWET_FLUX","ABISKO","ABISKOWET_FLUX","5_CTL",2007,2006,2012,4,"pf_all_plot","Point-framing (sum)",0.0484,68.20462,18.49582,68,18,"68_18","Eurasia",14.1565144208435,0.688779668803189,8,2.42153441764623,0.905537915552281,"Arctic","LOW",400,NA,8522,13.2,-17.1,8.9,-13.9,635,30,438,"none",59.4405594405595,34.965034965035,5.59440559440559,"Shrub-Dominated",6
