PLOT,SPECIES,COVER,TRAIT1,TRAIT2,TRAIT3,DESCRIPTION
1,A,25,60,70,80,Species richness
1,B,25,100,110,120,Species richness
1,C,25,140,150,160,Species richness
1,D,25,180,190,200,Species richness
2,A,12.5,60,70,80,Species richness
2,B,12.5,70,80,90,Species richness
2,C,12.5,80,90,100,Species richness
2,D,12.5,90,100,110,Species richness
2,E,12.5,100,110,120,Species richness
2,F,12.5,110,120,130,Species richness
2,G,12.5,120,130,140,Species richness
2,H,12.5,130,140,150,Species richness
3,A,20,50.18994,95.189942,130.18994,Trait values
3,B,20,55.20553,90.205526,125.20553,Trait values
3,C,20,50.19333,85.193327,130.19333,Trait values
3,D,20,45.19657,90.196574,135.19657,Trait values
3,E,20,50.19758,95.197579,130.19758,Trait values
4,A,20,10,195,84,Trait values
4,B,20,162,9,123,Trait values
4,C,20,39,91,168,Trait values
4,D,20,78,111,12,Trait values
4,E,20,171,23,68,Trait values
5,A,20,50.18994,95.189942,130.18994,Cover
5,B,20,55.20553,90.205526,125.20553,Cover
5,C,20,50.19333,85.193327,130.19333,Cover
5,D,20,45.19657,90.196574,135.19657,Cover
5,E,20,50.19758,95.197579,130.19758,Cover
6,A,5,50.18994,95.189942,130.18994,Cover
6,B,5,55.20553,90.205526,125.20553,Cover
6,C,5,50.19333,85.193327,130.19333,Cover
6,D,5,45.19657,90.196574,135.19657,Cover
6,E,80,50.19758,95.197579,130.19758,Cover
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,A,50.18994,95.189942,130.18994,,
,B,55.20553,90.205526,125.20553,,
,C,50.19333,85.193327,130.19333,,
,D,45.19657,90.196574,135.19657,,
,E,50.19758,95.197579,130.19758,,
