"","LONG","LAT","Country","Continent","glaciated"
"1",-75.78341,78.87448,"Canada","North America","Yes"
"2",-157.414293,70.456021,"United States of America","North America","No"
"3",-156.64,71.29,"United States of America","North America","No"
"4",-6.95,62.066667,"Faroe Islands","Europe","Yes"
"5",-138.2666667,61.21666667,"Canada","North America","Yes"
"6",15.934,78.19,"Norway","Europe","Yes"
"7",15.934124,78.1899916,"Norway","Europe","Yes"
"8",16.45535,78.71061,"Norway","Europe","Yes"
"9",16.19464,78.64935,"Norway","Europe","Yes"
"10",-17.97208,65.59293,"Iceland","Europe","Yes"
"11",-18.1559,65.56427,"Iceland","Europe","Yes"
"12",-18.0768,65.51392,"Iceland","Europe","Yes"
"13",-18.24216,65.44984,"Iceland","Europe","Yes"
"14",-18.22637,65.50548,"Iceland","Europe","Yes"
"15",-20.22768,65.50305,"Iceland","Europe","Yes"
"16",-20.22503,65.50146,"Iceland","Europe","Yes"
"17",-19.30559,65.78468,"Iceland","Europe","Yes"
"18",-19.02952,65.77321,"Iceland","Europe","Yes"
"19",-19.04222,65.77286,"Iceland","Europe","Yes"
"20",-19.36136,65.80262,"Iceland","Europe","Yes"
"21",-20.26565,64.06638,"Iceland","Europe","Yes"
"22",-20.27764,64.03843,"Iceland","Europe","Yes"
"23",-20.59859,64.22035,"Iceland","Europe","Yes"
"24",-20.56942,63.97814,"Iceland","Europe","Yes"
"25",-20.54624,65.08352,"Iceland","Europe","Yes"
"26",-20.58339,65.06794,"Iceland","Europe","Yes"
"27",-20.58907,65.07728,"Iceland","Europe","Yes"
"28",-20.43913,65.22778,"Iceland","Europe","Yes"
"29",-20.4487,65.23772,"Iceland","Europe","Yes"
"30",-18.10823,65.93894,"Iceland","Europe","Yes"
"31",-18.21928,65.73728,"Iceland","Europe","Yes"
"32",-18.27375,65.77726,"Iceland","Europe","Yes"
"33",-18.28029,65.76853,"Iceland","Europe","Yes"
"34",-18.69754,65.46684,"Iceland","Europe","Yes"
"35",-18.69386,65.46596,"Iceland","Europe","Yes"
"36",-18.90435,65.48131,"Iceland","Europe","Yes"
"37",-20.16786,63.5641,"Iceland","Europe","Yes"
"38",-21.15821,63.98622,"Iceland","Europe","Yes"
"39",-21.16772,63.97085,"Iceland","Europe","Yes"
"40",12.6375,61.63542,"Sweden","Europe","Yes"
"41",12.34458,62.10253,"Sweden","Europe","Yes"
"42",12.27236,62.11508,"Norway","Europe","Yes"
"43",17.53611,67.77306,"Sweden","Europe","Yes"
"44",18.49582,68.20462,"Sweden","Europe","Yes"
"45",-18.6,64.57,"Iceland","Europe","Yes"
"46",-135.13,61.56,"Canada","North America","Yes"
"47",-20.54053855,74.47508063,"Greenland","Greenland","Yes"
"48",18.8356,68.3284,"Sweden","Europe","Yes"
"49",18.8417,68.3244,"Sweden","Europe","Yes"
"50",18.858,68.3145,"Sweden","Europe","Yes"
"51",18.863,68.3133,"Sweden","Europe","Yes"
"52",16.018237,78.174119,"Norway","Europe","Yes"
"53",16.021313,78.17192,"Norway","Europe","Yes"
"54",16.029034,78.171112,"Norway","Europe","Yes"
"55",16.054887,78.168357,"Norway","Europe","Yes"
"56",16.052656,78.170617,"Norway","Europe","Yes"
"57",16.061398,78.171784,"Norway","Europe","Yes"
"58",16.067786,78.172873,"Norway","Europe","Yes"
"59",-53.45,69.27,"Greenland","Greenland","Yes"
"60",-50.3505,67.10809,"Greenland","Greenland","Yes"
"61",-50.344,67.1103,"Greenland","Greenland","Yes"
"62",-50.337,67.11377,"Greenland","Greenland","Yes"
"63",20.8199,69.068,"Finland","Europe","Yes"
"64",18.49531,68.35572,"Sweden","Europe","Yes"
"65",18.49756,68.35683,"Sweden","Europe","Yes"
"66",18.4913635,68.3551536,"Sweden","Europe","Yes"
"67",23.80475,68.837306,"Norway","Europe","Yes"
"68",23.821889,68.835083,"Norway","Europe","Yes"
"69",23.845139,68.834417,"Norway","Europe","Yes"
"70",-53.78,69.43,"Greenland","Greenland","Yes"
"71",-20.54284746,74.47510333,"Greenland","Greenland","Yes"
"72",18.812886,68.358087,"Sweden","Europe","Yes"
"73",18.5115,68.1933,"Sweden","Europe","Yes"
"74",15.93,78.19,"Norway","Europe","Yes"
"75",-23.97807302,71.58566298,"Greenland","Greenland","Yes"
"76",-24.05517697,71.39768296,"Greenland","Greenland","Yes"
"77",-24.34597897,71.49365399,"Greenland","Greenland","Yes"
"78",-24.225714,71.05257704,"Greenland","Greenland","Yes"
"79",18.49,68.35,"Sweden","Europe","Yes"
"80",18.65,68.35,"Sweden","Europe","Yes"
"81",16.04,78.1,"Norway","Europe","Yes"
"82",-149.61,68.62,"United States of America","North America","No"
"83",-20.52895,74.47427,"Greenland","Greenland","Yes"
"84",7.5197935,60.61497203,"Norway","Europe","Yes"
"85",-149.28,68.62,"United States of America","North America","No"
"86",-149.3521345,68.4746405,"United States of America","North America","No"
"87",-149.352222,68.4759725,"United States of America","North America","No"
"88",-149.319503,68.454758,"United States of America","North America","Yes"
"89",-143.626875,69.70312,"United States of America","North America","No"
"90",-143.616045,69.71159,"United States of America","North America","No"
"91",-143.7246513,68.5734993,"United States of America","North America","No"
"92",-111.5666667,64.86666667,"Canada","North America","Yes"
"93",15.74496,78.18557,"Norway","Europe","Yes"
"94",-64.69,66.88,"Canada","North America","Yes"
"95",-81.53,69.389,"Canada","North America","Yes"
"96",-45.4,61.16,"Greenland","Greenland","Yes"
"97",-51.3831,64.1361,"Greenland","Greenland","Yes"
"98",-76.48755,81.39631,"Canada","North America","Yes"
