"","LONG","LAT"
"1",18.5115,68.1933
"2",18.49582,68.20462
"3",18.812886,68.358087
"4",18.8356,68.3284
"5",18.8417,68.3244
"6",18.858,68.3145
"7",18.863,68.3133
"8",16.018237,78.174119
"9",16.021313,78.17192
"10",16.029034,78.171112
"11",16.054887,78.168357
"12",16.052656,78.170617
"13",16.061398,78.171784
"14",16.067786,78.172873
"15",-17.97208,65.59293
"16",-18.1559,65.56427
"17",-18.0768,65.51392
"18",-18.24216,65.44984
"19",-18.22637,65.50548
"20",-75.78341,78.87448
"21",-75.90053,78.86221
"22",-75.90385,78.86192
"23",-75.7826,78.8719
"24",-75.79107,78.87107
"25",-75.80909,78.87558
"26",-75.79867,78.87421
"27",-149.3521345,68.4746405
"28",-149.352222,68.4759725
"29",-149.319503,68.454758
"30",-143.626875,69.70312
"31",-143.616045,69.71159
"32",-157.4073879,70.45373011
"33",-157.403942,70.451449
"34",-157.4003018,70.45303348
"35",-157.414293,70.456021
"36",-19.71319,65.21748
"37",-64.69,66.88
"38",-156.64,71.29
"39",-156.6010247,71.31502696
"40",-156.592799,71.310312
"41",-156.5978987,71.31051842
"42",16.45535,78.71061
"43",-20.22768,65.50305
"44",-20.22503,65.50146
"45",-143.7246513,68.5734993
"46",-79.9044525,73.1682958
"47",-79.9843858,73.1399267
"48",-19.30559,65.78468
"49",-19.02952,65.77321
"50",-19.04222,65.77286
"51",-19.36136,65.80262
"52",-111.5666667,64.86666667
"53",-53.45,69.27
"54",-53.78,69.43
"55",15.74496,78.18557
"56",-6.95,62.066667
"57",7.5197935,60.61497203
"58",12.6375,61.63542
"59",-20.26565,64.06638
"60",-20.27764,64.03843
"61",-20.59859,64.22035
"62",-20.56942,63.97814
"63",-20.54624,65.08352
"64",-20.58339,65.06794
"65",-20.58907,65.07728
"66",-20.43913,65.22778
"67",-20.4487,65.23772
"68",-81.53,69.389
"69",-23.97807302,71.58566298
"70",-24.05517697,71.39768296
"71",-24.34597897,71.49365399
"72",-24.225714,71.05257704
"73",20.8199,69.068
"74",-138.2666667,61.21666667
"75",18.49531,68.35572
"76",18.49756,68.35683
"77",18.49,68.35
"78",18.65,68.35
"79",18.4913635,68.3551536
"80",12.34458,62.10253
"81",12.27236,62.11508
"82",-18.10823,65.93894
"83",-18.21928,65.73728
"84",-18.27375,65.77726
"85",-18.28029,65.76853
"86",23.845139,68.834417
"87",23.80475,68.837306
"88",23.821889,68.835083
"89",-45.4,61.16
"90",-51.3831,64.1361
"91",-18.69754,65.46684
"92",-18.69386,65.46596
"93",-18.90435,65.48131
"94",16.19464,78.64935
"95",-138.86347,69.57488
"96",-138.86774,69.57646
"97",-76.48755,81.39631
"98",17.53611,67.77306
"99",15.934,78.19
"100",15.93,78.19
"101",15.934124,78.1899916
"102",16.04,78.1
"103",-21.06941,64.28083
"104",-18.6,64.57
"105",-20.16786,63.5641
"106",-21.15821,63.98622
"107",-21.16772,63.97085
"108",-149.61,68.62
"109",-149.28,68.62
"110",-135.13,61.56
"111",-20.52895,74.47427
"112",-20.54284746,74.47510333
"113",-20.54053855,74.47508063
