"","SiteSubsite","NumberPlots"
"1","ABISKO:ABISKODRY_PADDUS",6
"2","ABISKO:ABISKOWET_FLUX",6
"3","ABISKO:ABISKOWET_MULTE",6
"4","ABISKO:PEATLAND",5
"5","ABISKO:lower_forest",5
"6","ABISKO:lower_tundra",5
"7","ABISKO:upper_forest",5
"8","ABISKO:upper_tundra",4
"9","ADVENT:ADVENT_1",6
"10","ADVENT:ADVENT_2",5
"11","ADVENT:ADVENT_3",6
"12","ADVENT:ADVENT_4",4
"13","ADVENT:ADVENT_5",6
"14","ADVENT:ADVENT_6",6
"15","ADVENT:ADVENT_7",6
"16","AKUREYRI:GA66",25
"17","AKUREYRI:HR58",20
"18","AKUREYRI:MD72",25
"19","AKUREYRI:SB63",26
"20","AKUREYRI:SY59",25
"21","ALEXFIORD:CASSIOPE",24
"22","ALEXFIORD:CASSIOPE_COVER",1
"23","ALEXFIORD:DOMEDOLOMITE",11
"24","ALEXFIORD:DOMEGRANITE",9
"25","ALEXFIORD:DRYAS",14
"26","ALEXFIORD:FERT",5
"27","ALEXFIORD:MEADOW",10
"28","ALEXFIORD:WILLOW",10
"29","ANWR:ATIGUN-A",10
"30","ANWR:ATIGUN-B",10
"31","ANWR:ATIGUN-C",10
"32","ANWR:JAGO-A",10
"33","ANWR:JAGO-B",10
"34","ATQASUK:AD",24
"35","ATQASUK:AG",88
"36","ATQASUK:AW",24
"37","ATQASUK:RATE_BETULA_SHRUB",8
"38","ATQASUK:RATE_CAREX_ WET_MEADOW",3
"39","ATQASUK:RATE_DRYAS_HEATH",6
"40","ATQASUK:RATE_ERIOPHORUM_WET_MEADOW",3
"41","ATQASUK:RATE_HIEROCHLOE_DRY_MEADOW",11
"42","AUDKULUHEIDI:BETULAHEATH",10
"43","AUYUITTUQ:OWL RIVER",10
"44","BARROW:ARCTOPHILA_POND_ORDINATION",1
"45","BARROW:BD",24
"46","BARROW:BG",98
"47","BARROW:BW",24
"48","BARROW:CAREX WET MEADOW_ORDINATION",2
"49","BARROW:CAREX_MESIC MEADOW_ORDINATION",10
"50","BARROW:CAREX_MOIST MEADOW_ORDINATION",7
"51","BARROW:CAREX_MOIST_MEADOW_MICROTOPO",86
"52","BARROW:CAREX_WET_MEADOW_MICROTOPO",37
"53","BARROW:DRY_HEATH_ORDINATION",3
"54","BARROW:DUPONTIA_WET_MEADOW_MICROTOPO",10
"55","BILLEFJORDEN:AWS",42
"56","BLONDUOS:SD33",26
"57","BLONDUOS:SD34",29
"58","BROOKS:SHEEN-B",10
"59","BYLOT:MESPOLYGON",24
"60","BYLOT:MESPRAIRIE",24
"61","DALSMYNNI:AG4",14
