"","Taxon","Genus","Hybrid.marker","Species","Abbrev","Infraspecific.rank","Infraspecific","Authority","ID","Plant.Name.Index","TPL.version","Taxonomic.status","Family","New.Genus","New.Hybrid.marker","New.Species","New.Infraspecific.rank","New.Infraspecific","New.Authority","New.ID","New.Taxonomic.status","Typo","WFormat","Higher.level","Date"
"1","Cassiope tetragona","Cassiope","","tetragona",NA,NA,"","","kew-2704413",TRUE,"1.1","Accepted","Ericaceae","Cassiope","","tetragona","","","(L.) D.Don","kew-2704413","Accepted",FALSE,FALSE,FALSE,2022-11-10
"2","Dryas integrifolia","Dryas","","integrifolia",NA,NA,"","","rjp-5504",TRUE,"1.1","Accepted","Rosaceae","Dryas","","integrifolia","","","Vahl","rjp-5504","Accepted",FALSE,FALSE,FALSE,2022-11-10
"3","Luzula arctica","Luzula","","arctica",NA,NA,"","","kew-316164",TRUE,"1.1","Synonym","Juncaceae","Luzula","","nivalis","","","(Laest.) Spreng.","kew-316552","Accepted",FALSE,FALSE,FALSE,2022-11-10
"4","Luzula confusa","Luzula","","confusa",NA,NA,"","","kew-316319",TRUE,"1.1","Accepted","Juncaceae","Luzula","","confusa","","","Lindeb.","kew-316319","Accepted",FALSE,FALSE,FALSE,2022-11-10
"5","Oxyria digyna","Oxyria","","digyna",NA,NA,"","","kew-2396529",TRUE,"1.1","Accepted","Polygonaceae","Oxyria","","digyna","","","(L.) Hill","kew-2396529","Accepted",FALSE,FALSE,FALSE,2022-11-10
"6","Salix arctica","Salix","","arctica",NA,NA,"","","kew-5001380",TRUE,"1.1","Accepted","Salicaceae","Salix","","arctica","","","Pall.","kew-5001380","Accepted",FALSE,FALSE,FALSE,2022-11-10
"7","Betula nana","Betula","","nana",NA,NA,"","","kew-21505",TRUE,"1.1","Accepted","Betulaceae","Betula","","nana","","","L.","kew-21505","Accepted",FALSE,FALSE,FALSE,2022-11-10
"8","Rubus chamaemorus","Rubus","","chamaemorus",NA,NA,"","","rjp-6",TRUE,"1.1","Accepted","Rosaceae","Rubus","","chamaemorus","","","L.","rjp-6","Accepted",FALSE,FALSE,FALSE,2022-11-10
"9","Carex bigelowii","Carex","","bigelowii",NA,NA,"","","kew-224946",TRUE,"1.1","Accepted","Cyperaceae","Carex","","bigelowii","","","Torr. ex Schwein.","kew-224946","Accepted",FALSE,FALSE,FALSE,2022-11-10
"10","Poa arctica","Poa","","arctica",NA,NA,"","","kew-435235",TRUE,"1.1","Accepted","Poaceae","Poa","","arctica","","","R.Br.","kew-435235","Accepted",FALSE,FALSE,FALSE,2022-11-10
