"","Species"
"1","Achillea millefolium"
"2","Agrostis canina"
"3","Agrostis capillaris"
"4","Agrostis mertensii"
"5","Agrostis stolonifera"
"6","Agrostis vinealis"
"7","Alchemilla alpina"
"8","Alchemilla xanthochlora"
"9","Alopecurus alpinus"
"10","Alopecurus magellanicus"
"11","Alopecurus pratensis"
"12","Andromeda polifolia"
"13","Androsace chamaejasme"
"14","Androsace ochotensis"
"15","Androsace septentrionalis"
"16","Anemone parviflora"
"17","Anemone richardsonii"
"18","Antennaria alpina"
"19","Antennaria dioica"
"20","Antennaria friesiana"
"21","Antennaria monocephala"
"22","Anthoxanthum odoratum"
"23","Arabidopsis lyrata"
"24","Arabis alpina"
"25","Arctagrostis latifolia"
"26","Arctophila fulva"
"27","Arctous alpina"
"28","Arctous rubra"
"29","Arenaria pseudofrigida"
"30","Armeria maritima"
"31","Arnica griscomii"
"32","Arnica lessingii"
"33","Arnica stricta"
"34","Artemisia arctica"
"35","Artemisia campestris"
"36","Artemisia glomerata"
"37","Artemisia norvegica"
"38","Astragalus alpinus"
"39","Astragalus frigidus"
"40","Astragalus umbellatus"
"41","Bartsia alpina"
"42","Betula glandulosa"
"43","Betula nana"
"44","Betula pubescens"
"45","Boykinia richardsonii"
"46","Braya glabella"
"47","Bromus pumpellianus"
"48","Bupleurum americanum"
"49","Calamagrostis canadensis"
"50","Calamagrostis canescens"
"51","Calamagrostis holmii"
"52","Calamagrostis inexpansa"
"53","Calamagrostis lapponica"
"54","Calamagrostis stricta"
"55","Calluna vulgaris"
"56","Caltha palustris"
"57","Campanula lasiocarpa"
"58","Cardamine bellidifolia"
"59","Cardamine digitata"
"60","Cardamine pratensis"
"61","Carex aquatilis"
"62","Carex atrata"
"63","Carex atrofusca"
"64","Carex bigelowii"
"65","Carex brunnescens"
"66","Carex canescens"
"67","Carex capillaris"
"68","Carex capitata"
"69","Carex chordorrhiza"
"70","Carex dioica"
"71","Carex flacca"
"72","Carex fuliginosa"
"73","Carex gynocrates"
"74","Carex krausei"
"75","Carex lachenalii"
"76","Carex limosa"
"77","Carex lyngbyei"
"78","Carex magellanica"
"79","Carex marina"
"80","Carex maritima"
"81","Carex membranacea"
"82","Carex microchaeta"
"83","Carex microglochin"
"84","Carex nardina"
"85","Carex nigra"
"86","Carex norvegica"
"87","Carex obtusata"
"88","Carex panicea"
"89","Carex parallela"
"90","Carex parviflora"
"91","Carex pilulifera"
"92","Carex rariflora"
"93","Carex rostrata"
"94","Carex rotundata"
"95","Carex rupestris"
"96","Carex saxatilis"
"97","Carex scirpoidea"
"98","Carex subspathacea"
"99","Carex supina"
"100","Carex vaginata"
"101","Carex vesicaria"
"102","Cassiope tetragona"
"103","Cerastium alpinum"
"104","Cerastium arcticum"
"105","Cerastium beeringianum"
"106","Cerastium cerastoides"
"107","Cerastium fontanum"
"108","Cerastium glabratum"
"109","Cerastium regelii"
"110","Chamorchis alpina"
"111","Chrysosplenium tetrandrum"
"112","Claytonia sarmentosa"
"113","Cochlearia officinalis"
"114","Comarum palustre"
"115","Coptidium lapponicum"
"116","Coptidium pallasii"
"117","Dactylorhiza viridis"
"118","Dasiphora fruticosa"
"119","Deschampsia atropurpurea"
"120","Deschampsia cespitosa"
"121","Deschampsia flexuosa"
"122","Diapensia lapponica"
"123","Diphasiastrum alpinum"
"124","Diphasiastrum complanatum"
"125","Draba incana"
"126","Draba lactea"
"127","Draba micropetala"
"128","Draba nivalis"
"129","Draba norvegica"
"130","Dryas integrifolia"
"131","Dryas octopetala"
"132","Dupontia fisheri"
"133","Eleocharis uniglumis"
"134","Empetrum nigrum"
"135","Epilobium alsinifolium"
"136","Epilobium hornemannii"
"137","Epilobium latifolium"
"138","Epilobium palustre"
"139","Equisetum arvense"
"140","Erigeron borealis"
"141","Erigeron eriocephalus"
"142","Erigeron humilis"
"143","Erigeron uniflorus"
"144","Eriophorum angustifolium"
"145","Eriophorum chamissonis"
"146","Eriophorum scheuchzeri"
"147","Eriophorum vaginatum"
"148","Euphrasia frigida"
"149","Euphrasia officinalis"
"150","Eutrema edwardsii"
"151","Festuca altaica"
"152","Festuca baffinensis"
"153","Festuca brachyphylla"
"154","Festuca ovina"
"155","Festuca richardsonii"
"156","Festuca rubra"
"157","Festuca vivipara"
"158","Filipendula ulmaria"
"159","Gagea serotina"
"160","Galium boreale"
"161","Galium normanii"
"162","Galium verum"
"163","Gentiana nivalis"
"164","Gentianella aurea"
"165","Gentianella campestris"
"166","Gentianella propinqua"
"167","Gentianopsis detonsa"
"168","Geum glaciale"
"169","Geum rivale"
"170","Gnaphalium supinum"
"171","Gymnadenia conopsea"
"172","Harrimanella hypnoides"
"173","Hedysarum alpinum"
"174","Hieracium alpinum"
"175","Hierochloe alpina"
"176","Hierochloe odorata"
"177","Hierochloe pauciflora"
"178","Hippuris vulgaris"
"179","Juncus alpinoarticulatus"
"180","Juncus arcticus"
"181","Juncus biglumis"
"182","Juncus trifidus"
"183","Juncus triglumis"
"184","Juniperus communis"
"185","Kobresia myosuroides"
"186","Kobresia sibirica"
"187","Kobresia simpliciuscula"
"188","Koeleria asiatica"
"189","Koenigia islandica"
"190","Lagotis minor"
"191","Ledum decumbens"
"192","Ledum palustre"
"193","Lesquerella arctica"
"194","Leymus arenarius"
"195","Leymus mollis"
"196","Linnaea borealis"
"197","Linum catharticum"
"198","Loiseleuria procumbens"
"199","Lupinus arcticus"
"200","Luzula arcuata"
"201","Luzula confusa"
"202","Luzula multiflora"
"203","Luzula nivalis"
"204","Luzula parviflora"
"205","Luzula spicata"
