"","Taxon","Genus","Hybrid.marker","Species","Abbrev","Infraspecific.rank","Infraspecific","Authority","ID","Plant.Name.Index","TPL.version","Taxonomic.status","Family","New.Genus","New.Hybrid.marker","New.Species","New.Infraspecific.rank","New.Infraspecific","New.Authority","New.ID","New.Taxonomic.status","Typo","WFormat","Higher.level","Date"
"1","Achillea apiculata","Achillea","","apiculata",NA,NA,"","","gcc-87605",TRUE,"1.1","Accepted","Compositae","Achillea","","apiculata","","","N.I.Orlova","gcc-87605","Accepted",FALSE,FALSE,FALSE,2022-02-28
"2","Achillea millefolium","Achillea","","millefolium",NA,NA,"","","gcc-140712",TRUE,"1.1","Accepted","Compositae","Achillea","","millefolium","","","L.","gcc-140712","Accepted",FALSE,FALSE,FALSE,2022-02-28
"3","Aconitum delphinifolium","Aconitum","","delphinifolium",NA,NA,"","","kew-2618618",TRUE,"1.1","Accepted","Ranunculaceae","Aconitum","","delphinifolium","","","DC.","kew-2618618","Accepted",FALSE,FALSE,FALSE,2022-02-28
"4","Aconitum lycoctonum","Aconitum","","lycoctonum",NA,NA,"","","kew-2619019",TRUE,"1.1","Accepted","Ranunculaceae","Aconitum","","lycoctonum","","","L.","kew-2619019","Accepted",FALSE,FALSE,FALSE,2022-02-28
"5","Aconitum septentrionale","Aconitum","","septentrionale",NA,NA,"","","kew-2619505",TRUE,"1.1","Accepted","Ranunculaceae","Aconitum","","septentrionale","","","Koelle","kew-2619505","Accepted",FALSE,FALSE,FALSE,2022-02-28
"6","Adenostyles alliariae","Adenostyles","","alliariae",NA,NA,"","","gcc-156793",TRUE,"1.1","Accepted","Compositae","Adenostyles","","alliariae","","","(Gouan) A.Kern.","gcc-156793","Accepted",FALSE,FALSE,FALSE,2022-02-28
"7","Agrostis capillaris","Agrostis","","capillaris",NA,NA,"","","kew-387729",TRUE,"1.1","Accepted","Poaceae","Agrostis","","capillaris","","","L.","kew-387729","Accepted",FALSE,FALSE,FALSE,2022-02-28
"8","Agrostis gigantea","Agrostis","","gigantea",NA,NA,"","","kew-389634",TRUE,"1.1","Accepted","Poaceae","Agrostis","","gigantea","","","Roth","kew-389634","Accepted",FALSE,FALSE,FALSE,2022-02-28
"9","Agrostis mertensii","Agrostis","","mertensii",NA,NA,"","","kew-389907",TRUE,"1.1","Accepted","Poaceae","Agrostis","","mertensii","","","Trin.","kew-389907","Accepted",FALSE,FALSE,FALSE,2022-02-28
"10","Ajuga reptans","Ajuga","","reptans",NA,NA,"","","kew-5385",TRUE,"1.1","Accepted","Lamiaceae","Ajuga","","reptans","","","L.","kew-5385","Accepted",FALSE,FALSE,FALSE,2022-02-28
"11","Alchemilla alpina","Alchemilla","","alpina",NA,NA,"","","rjp-28",TRUE,"1.1","Accepted","Rosaceae","Alchemilla","","alpina","","","L.","rjp-28","Accepted",FALSE,FALSE,FALSE,2022-02-28
