"","Taxon","Genus","Hybrid.marker","Species","Abbrev","Infraspecific.rank","Infraspecific","Authority","ID","Plant.Name.Index","TPL.version","Taxonomic.status","Family","New.Genus","New.Hybrid.marker","New.Species","New.Infraspecific.rank","New.Infraspecific","New.Authority","New.ID","New.Taxonomic.status","Typo","WFormat","Higher.level","Date"
"1","Achillea atrata","Achillea","","atrata",NA,NA,"","","gcc-14881",TRUE,"1.1","Accepted","Compositae","Achillea","","atrata","","","L.","gcc-14881","Accepted",FALSE,FALSE,FALSE,2022-02-28
"2","Achillea millefolium","Achillea","","millefolium",NA,NA,"","","gcc-140712",TRUE,"1.1","Accepted","Compositae","Achillea","","millefolium","","","L.","gcc-140712","Accepted",FALSE,FALSE,FALSE,2022-02-28
"3","Acinos alpinus","Acinos","","alpinus",NA,NA,"","","tro-17600002",TRUE,"1.1","Accepted","Lamiaceae","Acinos","","alpinus","","","Moench.","tro-17600002","Accepted",FALSE,FALSE,FALSE,2022-02-28
"4","Aconitum delphinifolium","Aconitum","","delphinifolium",NA,NA,"","","kew-2618618",TRUE,"1.1","Accepted","Ranunculaceae","Aconitum","","delphinifolium","","","DC.","kew-2618618","Accepted",FALSE,FALSE,FALSE,2022-02-28
"5","Aconitum nasutum","Aconitum","","nasutum",NA,NA,"","","kew-2619213",TRUE,"1.1","Accepted","Ranunculaceae","Aconitum","","nasutum","","","Fisch. ex Rchb.","kew-2619213","Accepted",FALSE,FALSE,FALSE,2022-02-28
"6","Agoseris aurantiaca","Agoseris","","aurantiaca",NA,NA,"","","gcc-140203",TRUE,"1.1","Accepted","Compositae","Agoseris","","aurantiaca","","","(Hook.) Greene","gcc-140203","Accepted",FALSE,FALSE,FALSE,2022-02-28
"7","Agrostis alpina","Agrostis","","alpina",NA,NA,"","","kew-389160",TRUE,"1.1","Accepted","Poaceae","Agrostis","","alpina","","","Scop.","kew-389160","Accepted",FALSE,FALSE,FALSE,2022-02-28
"8","Agrostis capillaris","Agrostis","","capillaris",NA,NA,"","","kew-387729",TRUE,"1.1","Accepted","Poaceae","Agrostis","","capillaris","","","L.","kew-387729","Accepted",FALSE,FALSE,FALSE,2022-02-28
"9","Agrostis mertensii","Agrostis","","mertensii",NA,NA,"","","kew-389907",TRUE,"1.1","Accepted","Poaceae","Agrostis","","mertensii","","","Trin.","kew-389907","Accepted",FALSE,FALSE,FALSE,2022-02-28
"10","Agrostis rupestris","Agrostis","","rupestris",NA,NA,"","","kew-390243",TRUE,"1.1","Accepted","Poaceae","Agrostis","","rupestris","","","All.","kew-390243","Accepted",FALSE,FALSE,FALSE,2022-02-28
