"row_ID","SiteSubsitePlotYear","SiteSubsitePlot","SiteSubsite","SITE","SUBSITE","PLOT","YEAR","YEAR_earliest","YEAR_latest","Repeats","ValueType","Method","SurveyedArea","LAT","LONG","lat_grid","lon_grid","gridcell","Region","FRic","FEve","FDis","SR","qual.FRic","AlpArc","AZONE","ELEV","MOISTURE","TempSeas","TempMaxSum","TempMinWin","TempAvSum","TempAvWin","PrecipAnn","PrecipSeas","SnowAnn","permafrost","EShrubCover","DShrubCover","GraminoidCover","ForbCover","PlotDominatingFG"
1,"ABISKO:ABISKODRY_PADDUS:CTL_1:2008","ABISKO:ABISKODRY_PADDUS:CTL_1","ABISKO:ABISKODRY_PADDUS","ABISKO","ABISKODRY_PADDUS","CTL_1",2008,2008,2014,2,"pf_all_plot","Point-framing (sum)",0.25,68.1933,18.5115,68,18.5,"68_18.5","Eurasia",22.4962108213374,0.688431294369991,2.60278708552369,11,0.803650790538565,"Arctic","LOW",544,"MOIST",8562,14.2,-16.2,9.9,-13,499,30,342,"none",43.3333333333333,23.3333333333333,29.3333333333333,4,"None"
2,"ABISKO:ABISKODRY_PADDUS:CTL_1:2014","ABISKO:ABISKODRY_PADDUS:CTL_1","ABISKO:ABISKODRY_PADDUS","ABISKO","ABISKODRY_PADDUS","CTL_1",2014,2008,2014,2,"pf_all_plot","Point-framing (sum)",0.25,68.1933,18.5115,68,18.5,"68_18.5","Eurasia",21.5385393076246,0.718007221910746,2.73139343018263,13,0.823558562105037,"Arctic","LOW",544,"MOIST",8562,14.2,-16.2,9.9,-13,499,30,342,"none",44.7368421052632,28.0701754385965,15.7894736842105,11.4035087719298,"None"
3,"ABISKO:ABISKODRY_PADDUS:CTL_2:2008","ABISKO:ABISKODRY_PADDUS:CTL_2","ABISKO:ABISKODRY_PADDUS","ABISKO","ABISKODRY_PADDUS","CTL_2",2008,2008,2014,2,"pf_all_plot","Point-framing (sum)",0.25,68.1933,18.5115,68,18.5,"68_18.5","Eurasia",26.0463783641014,0.630841075501695,2.03081199056077,12,0.806212693394013,"Arctic","LOW",544,"MOIST",8562,14.2,-16.2,9.9,-13,499,30,342,"none",61.864406779661,31.3559322033898,3.38983050847458,3.38983050847458,"Evergreen_Shrub-Dominated"
4,"ABISKO:ABISKODRY_PADDUS:CTL_2:2014","ABISKO:ABISKODRY_PADDUS:CTL_2","ABISKO:ABISKODRY_PADDUS","ABISKO","ABISKODRY_PADDUS","CTL_2",2014,2008,2014,2,"pf_all_plot","Point-framing (sum)",0.25,68.1933,18.5115,68,18.5,"68_18.5","Eurasia",18.7962194214821,0.491857960480003,2.06468748273047,10,0.888808969833345,"Arctic","LOW",544,"MOIST",8562,14.2,-16.2,9.9,-13,499,30,342,"none",40.3508771929825,50.8771929824561,2.63157894736842,6.14035087719298,"Deciduous_Shrub-Dominated"
5,"ABISKO:ABISKODRY_PADDUS:CTL_3:2008","ABISKO:ABISKODRY_PADDUS:CTL_3","ABISKO:ABISKODRY_PADDUS","ABISKO","ABISKODRY_PADDUS","CTL_3",2008,2008,2014,2,"pf_all_plot","Point-framing (sum)",0.25,68.1933,18.5115,68,18.5,"68_18.5","Eurasia",24.8147591801823,0.515716472695124,1.8683765461625,12,0.810665272286634,"Arctic","LOW",544,"MOIST",8562,14.2,-16.2,9.9,-13,499,30,342,"none",75.2212389380531,17.6991150442478,3.53982300884956,3.53982300884956,"Evergreen_Shrub-Dominated"
6,"ABISKO:ABISKODRY_PADDUS:CTL_3:2014","ABISKO:ABISKODRY_PADDUS:CTL_3","ABISKO:ABISKODRY_PADDUS","ABISKO","ABISKODRY_PADDUS","CTL_3",2014,2008,2014,2,"pf_all_plot","Point-framing (sum)",0.25,68.1933,18.5115,68,18.5,"68_18.5","Eurasia",31.4010056278156,0.486690197265491,2.69593904014878,15,0.747324239144482,"Arctic","LOW",544,"MOIST",8562,14.2,-16.2,9.9,-13,499,30,342,"none",46.0674157303371,26.9662921348315,4.49438202247191,22.4719101123595,"None"
7,"ABISKO:ABISKODRY_PADDUS:CTL_4:2008","ABISKO:ABISKODRY_PADDUS:CTL_4","ABISKO:ABISKODRY_PADDUS","ABISKO","ABISKODRY_PADDUS","CTL_4",2008,2008,2014,2,"pf_all_plot","Point-framing (sum)",0.25,68.1933,18.5115,68,18.5,"68_18.5","Eurasia",23.5317439996051,0.585223345663203,2.08303647772726,16,0.80292070809625,"Arctic","LOW",544,"MOIST",8562,14.2,-16.2,9.9,-13,499,30,342,"none",56,24.8,13.6,5.6,"Evergreen_Shrub-Dominated"
8,"ABISKO:ABISKODRY_PADDUS:CTL_4:2014","ABISKO:ABISKODRY_PADDUS:CTL_4","ABISKO:ABISKODRY_PADDUS","ABISKO","ABISKODRY_PADDUS","CTL_4",2014,2008,2014,2,"pf_all_plot","Point-framing (sum)",0.25,68.1933,18.5115,68,18.5,"68_18.5","Eurasia",26.3602464943246,0.40542500695037,2.26189273407597,12,0.748766877079446,"Arctic","LOW",544,"MOIST",8562,14.2,-16.2,9.9,-13,499,30,342,"none",47.0588235294118,31.7647058823529,2.35294117647059,18.8235294117647,"None"
9,"ABISKO:ABISKODRY_PADDUS:CTL_5:2008","ABISKO:ABISKODRY_PADDUS:CTL_5","ABISKO:ABISKODRY_PADDUS","ABISKO","ABISKODRY_PADDUS","CTL_5",2008,2008,2014,2,"pf_all_plot","Point-framing (sum)",0.25,68.1933,18.5115,68,18.5,"68_18.5","Eurasia",26.3315691743316,0.61243675627567,2.28339426538475,14,0.791878464634436,"Arctic","LOW",544,"MOIST",8562,14.2,-16.2,9.9,-13,499,30,342,"none",41.2698412698413,39.6825396825397,5.55555555555556,13.4920634920635,"None"
10,"ABISKO:ABISKODRY_PADDUS:CTL_5:2014","ABISKO:ABISKODRY_PADDUS:CTL_5","ABISKO:ABISKODRY_PADDUS","ABISKO","ABISKODRY_PADDUS","CTL_5",2014,2008,2014,2,"pf_all_plot","Point-framing (sum)",0.25,68.1933,18.5115,68,18.5,"68_18.5","Eurasia",26.2086749401473,0.70898800297469,2.57592895451709,14,0.841265316158108,"Arctic","LOW",544,"MOIST",8562,14.2,-16.2,9.9,-13,499,30,342,"none",55.5555555555556,21.5277777777778,4.86111111111111,18.0555555555556,"Evergreen_Shrub-Dominated"
11,"ABISKO:ABISKODRY_PADDUS:CTL_6:2008","ABISKO:ABISKODRY_PADDUS:CTL_6","ABISKO:ABISKODRY_PADDUS","ABISKO","ABISKODRY_PADDUS","CTL_6",2008,2008,2014,2,"pf_all_plot","Point-framing (sum)",0.25,68.1933,18.5115,68,18.5,"68_18.5","Eurasia",17.0807984813419,0.773024949423599,2.25369819808668,7,0.925576585238066,"Arctic","LOW",544,"MOIST",8562,14.2,-16.2,9.9,-13,499,30,342,"none",76.0869565217391,18.1159420289855,5.79710144927536,0,"Evergreen_Shrub-Dominated"
