"row_ID","SiteSubsitePlotYear","SiteSubsitePlot","SiteSubsite","SITE","SUBSITE","PLOT","YEAR","YEAR_earliest","YEAR_latest","Repeats","ValueType","Method","SurveyedArea","LAT","LONG","lat_grid","lon_grid","gridcell","Region","FRic","FEve","SR","FDis","qual.FRic","AlpArc","AZONE","ELEV","MOISTURE","TempSeas","TempMaxSum","TempMinWin","TempAvSum","TempAvWin","PrecipAnn","PrecipSeas","SnowAnn","permafrost","EShrubCover","DShrubCover","GraminoidCover","ForbCover","PlotDominatingFG"
2,"ABISKO:ABISKODRY_PADDUS:CTL_1:2014","ABISKO:ABISKODRY_PADDUS:CTL_1","ABISKO:ABISKODRY_PADDUS","ABISKO","ABISKODRY_PADDUS","CTL_1",2014,2008,2014,2,"pf_all_plot","Point-framing (sum)",0.25,68.1933,18.5115,68,18.5,"68_18.5","Eurasia",21.5385393076246,0.718007221910746,13,2.73139343018263,0.823558562105037,"Arctic","LOW",544,"MOIST",8562,14.2,-16.2,9.9,-13,499,30,342,"none",44.7368421052632,28.0701754385965,15.7894736842105,11.4035087719298,"None"
4,"ABISKO:ABISKODRY_PADDUS:CTL_2:2014","ABISKO:ABISKODRY_PADDUS:CTL_2","ABISKO:ABISKODRY_PADDUS","ABISKO","ABISKODRY_PADDUS","CTL_2",2014,2008,2014,2,"pf_all_plot","Point-framing (sum)",0.25,68.1933,18.5115,68,18.5,"68_18.5","Eurasia",18.7962194214821,0.491857960480003,10,2.06468748273047,0.888808969833345,"Arctic","LOW",544,"MOIST",8562,14.2,-16.2,9.9,-13,499,30,342,"none",40.3508771929825,50.8771929824561,2.63157894736842,6.14035087719298,"Deciduous_Shrub-Dominated"
6,"ABISKO:ABISKODRY_PADDUS:CTL_3:2014","ABISKO:ABISKODRY_PADDUS:CTL_3","ABISKO:ABISKODRY_PADDUS","ABISKO","ABISKODRY_PADDUS","CTL_3",2014,2008,2014,2,"pf_all_plot","Point-framing (sum)",0.25,68.1933,18.5115,68,18.5,"68_18.5","Eurasia",31.4010056278156,0.486690197265491,15,2.69593904014878,0.747324239144482,"Arctic","LOW",544,"MOIST",8562,14.2,-16.2,9.9,-13,499,30,342,"none",46.0674157303371,26.9662921348315,4.49438202247191,22.4719101123595,"None"
8,"ABISKO:ABISKODRY_PADDUS:CTL_4:2014","ABISKO:ABISKODRY_PADDUS:CTL_4","ABISKO:ABISKODRY_PADDUS","ABISKO","ABISKODRY_PADDUS","CTL_4",2014,2008,2014,2,"pf_all_plot","Point-framing (sum)",0.25,68.1933,18.5115,68,18.5,"68_18.5","Eurasia",26.3602464943246,0.40542500695037,12,2.26189273407597,0.748766877079446,"Arctic","LOW",544,"MOIST",8562,14.2,-16.2,9.9,-13,499,30,342,"none",47.0588235294118,31.7647058823529,2.35294117647059,18.8235294117647,"None"
10,"ABISKO:ABISKODRY_PADDUS:CTL_5:2014","ABISKO:ABISKODRY_PADDUS:CTL_5","ABISKO:ABISKODRY_PADDUS","ABISKO","ABISKODRY_PADDUS","CTL_5",2014,2008,2014,2,"pf_all_plot","Point-framing (sum)",0.25,68.1933,18.5115,68,18.5,"68_18.5","Eurasia",26.2086749401473,0.70898800297469,14,2.57592895451709,0.841265316158108,"Arctic","LOW",544,"MOIST",8562,14.2,-16.2,9.9,-13,499,30,342,"none",55.5555555555556,21.5277777777778,4.86111111111111,18.0555555555556,"Evergreen_Shrub-Dominated"
12,"ABISKO:ABISKODRY_PADDUS:CTL_6:2014","ABISKO:ABISKODRY_PADDUS:CTL_6","ABISKO:ABISKODRY_PADDUS","ABISKO","ABISKODRY_PADDUS","CTL_6",2014,2008,2014,2,"pf_all_plot","Point-framing (sum)",0.25,68.1933,18.5115,68,18.5,"68_18.5","Eurasia",19.0568785773233,0.487015774582026,11,1.6337588106284,0.919228822586938,"Arctic","LOW",544,"MOIST",8562,14.2,-16.2,9.9,-13,499,30,342,"none",82.2916666666667,12.5,3.125,2.08333333333333,"Evergreen_Shrub-Dominated"
15,"ABISKO:ABISKOWET_FLUX:1_CTL:2012","ABISKO:ABISKOWET_FLUX:1_CTL","ABISKO:ABISKOWET_FLUX","ABISKO","ABISKOWET_FLUX","1_CTL",2012,2007,2012,3,"pf_all_plot","Point-framing (sum)",0.0484,68.20462,18.49582,68,18,"68_18","Eurasia",20.4463867996091,0.780021617999549,9,2.59973552507265,0.78221195190021,"Arctic","LOW",400,NA,8522,13.2,-17.1,8.9,-13.9,635,30,438,"none",21.7391304347826,37.6811594202899,36.231884057971,4.34782608695652,"None"
19,"ABISKO:ABISKOWET_FLUX:2_CTL:2012","ABISKO:ABISKOWET_FLUX:2_CTL","ABISKO:ABISKOWET_FLUX","ABISKO","ABISKOWET_FLUX","2_CTL",2012,2006,2012,4,"pf_all_plot","Point-framing (sum)",0.0484,68.20462,18.49582,68,18,"68_18","Eurasia",20.4186121144681,0.78145902031822,9,2.15324458678647,0.891316893018268,"Arctic","LOW",400,NA,8522,13.2,-17.1,8.9,-13.9,635,30,438,"none",23.1707317073171,18.2926829268293,56.0975609756098,2.4390243902439,"Graminoid-Dominated"
23,"ABISKO:ABISKOWET_FLUX:3_CTL:2012","ABISKO:ABISKOWET_FLUX:3_CTL","ABISKO:ABISKOWET_FLUX","ABISKO","ABISKOWET_FLUX","3_CTL",2012,2006,2012,4,"pf_all_plot","Point-framing (sum)",0.0484,68.20462,18.49582,68,18,"68_18","Eurasia",23.3546119850524,0.534713066285121,10,2.04489961684735,0.826808083328892,"Arctic","LOW",400,NA,8522,13.2,-17.1,8.9,-13.9,635,30,438,"none",58.6206896551724,21.8390804597701,16.0919540229885,3.44827586206897,"Evergreen_Shrub-Dominated"
27,"ABISKO:ABISKOWET_FLUX:4_CTL:2012","ABISKO:ABISKOWET_FLUX:4_CTL","ABISKO:ABISKOWET_FLUX","ABISKO","ABISKOWET_FLUX","4_CTL",2012,2006,2012,4,"pf_all_plot","Point-framing (sum)",0.0484,68.20462,18.49582,68,18,"68_18","Eurasia",18.5175885345813,0.365752085845582,10,1.85758942839181,0.814285423712624,"Arctic","LOW",400,NA,8522,13.2,-17.1,8.9,-13.9,635,30,438,"none",55.7251908396947,30.5343511450382,10.6870229007634,3.05343511450382,"Evergreen_Shrub-Dominated"
31,"ABISKO:ABISKOWET_FLUX:5_CTL:2012","ABISKO:ABISKOWET_FLUX:5_CTL","ABISKO:ABISKOWET_FLUX","ABISKO","ABISKOWET_FLUX","5_CTL",2012,2006,2012,4,"pf_all_plot","Point-framing (sum)",0.0484,68.20462,18.49582,68,18,"68_18","Eurasia",10.7501541970574,0.796121918294471,7,2.37216059120277,0.926153429568651,"Arctic","LOW",400,NA,8522,13.2,-17.1,8.9,-13.9,635,30,438,"none",57.8512396694215,14.0495867768595,20.6611570247934,7.43801652892562,"Evergreen_Shrub-Dominated"
35,"ABISKO:ABISKOWET_FLUX:6_CTL:2012","ABISKO:ABISKOWET_FLUX:6_CTL","ABISKO:ABISKOWET_FLUX","ABISKO","ABISKOWET_FLUX","6_CTL",2012,2006,2012,4,"pf_all_plot","Point-framing (sum)",0.0484,68.20462,18.49582,68,18,"68_18","Eurasia",26.7427740096996,0.56687844447322,12,2.13121054213174,0.813992132659487,"Arctic","LOW",400,NA,8522,13.2,-17.1,8.9,-13.9,635,30,438,"none",43.9024390243902,32.520325203252,15.4471544715447,8.13008130081301,"None"
39,"ABISKO:ABISKOWET_MULTE:Abisko_wetheathControl1:2008","ABISKO:ABISKOWET_MULTE:Abisko_wetheathControl1","ABISKO:ABISKOWET_MULTE","ABISKO","ABISKOWET_MULTE","Abisko_wetheathControl1",2008,1999,2008,4,"pf_all_plot","Point-framing (sum)",0.25,68.20462,18.49582,68,18,"68_18","Eurasia",23.0888199988939,0.803882397547599,11,2.24048859555984,0.792329938985368,"Arctic","LOW",420,"WET",8522,13.2,-17.1,8.9,-13.9,635,30,438,"none",24.7058823529412,21.1764705882353,45.8823529411765,8.23529411764706,"None"
43,"ABISKO:ABISKOWET_MULTE:Abisko_wetheathControl2:2008","ABISKO:ABISKOWET_MULTE:Abisko_wetheathControl2","ABISKO:ABISKOWET_MULTE","ABISKO","ABISKOWET_MULTE","Abisko_wetheathControl2",2008,1999,2008,4,"pf_all_plot","Point-framing (sum)",0.25,68.20462,18.49582,68,18,"68_18","Eurasia",16.6511846594961,0.536074933384599,9,2.44742352109837,0.860048017156784,"Arctic","LOW",420,"WET",8522,13.2,-17.1,8.9,-13.9,635,30,438,"none",23.0769230769231,23.0769230769231,40.6593406593407,13.1868131868132,"None"
47,"ABISKO:ABISKOWET_MULTE:Abisko_wetheathControl3:2008","ABISKO:ABISKOWET_MULTE:Abisko_wetheathControl3","ABISKO:ABISKOWET_MULTE","ABISKO","ABISKOWET_MULTE","Abisko_wetheathControl3",2008,1999,2008,4,"pf_all_plot","Point-framing (sum)",0.25,68.20462,18.49582,68,18,"68_18","Eurasia",23.9274024750094,0.726276767901008,9,2.53995205017671,0.858426129100085,"Arctic","LOW",420,"WET",8522,13.2,-17.1,8.9,-13.9,635,30,438,"none",39.8148148148148,37.962962962963,19.4444444444444,2.77777777777778,"None"
