"SiteSubsitePlotYear","SiteSubsitePlot","SR"
"ABISKO:ABISKODRY_PADDUS:CTL_1:2008","ABISKO:ABISKODRY_PADDUS:CTL_1",11
"ABISKO:ABISKODRY_PADDUS:CTL_1:2008","ABISKO:ABISKODRY_PADDUS:CTL_1",11
"ABISKO:ABISKODRY_PADDUS:CTL_1:2008","ABISKO:ABISKODRY_PADDUS:CTL_1",11
"ABISKO:ABISKODRY_PADDUS:CTL_1:2008","ABISKO:ABISKODRY_PADDUS:CTL_1",11
"ABISKO:ABISKODRY_PADDUS:CTL_1:2008","ABISKO:ABISKODRY_PADDUS:CTL_1",11
"ABISKO:ABISKODRY_PADDUS:CTL_1:2008","ABISKO:ABISKODRY_PADDUS:CTL_1",11
"ABISKO:ABISKODRY_PADDUS:CTL_1:2008","ABISKO:ABISKODRY_PADDUS:CTL_1",11
"ABISKO:ABISKODRY_PADDUS:CTL_1:2008","ABISKO:ABISKODRY_PADDUS:CTL_1",11
"ABISKO:ABISKODRY_PADDUS:CTL_1:2008","ABISKO:ABISKODRY_PADDUS:CTL_1",11
"ABISKO:ABISKODRY_PADDUS:CTL_1:2008","ABISKO:ABISKODRY_PADDUS:CTL_1",11
"ABISKO:ABISKODRY_PADDUS:CTL_1:2008","ABISKO:ABISKODRY_PADDUS:CTL_1",11
"ABISKO:ABISKODRY_PADDUS:CTL_1:2014","ABISKO:ABISKODRY_PADDUS:CTL_1",13
"ABISKO:ABISKODRY_PADDUS:CTL_1:2014","ABISKO:ABISKODRY_PADDUS:CTL_1",13
"ABISKO:ABISKODRY_PADDUS:CTL_1:2014","ABISKO:ABISKODRY_PADDUS:CTL_1",13
"ABISKO:ABISKODRY_PADDUS:CTL_1:2014","ABISKO:ABISKODRY_PADDUS:CTL_1",13
"ABISKO:ABISKODRY_PADDUS:CTL_1:2014","ABISKO:ABISKODRY_PADDUS:CTL_1",13
"ABISKO:ABISKODRY_PADDUS:CTL_1:2014","ABISKO:ABISKODRY_PADDUS:CTL_1",13
"ABISKO:ABISKODRY_PADDUS:CTL_1:2014","ABISKO:ABISKODRY_PADDUS:CTL_1",13
"ABISKO:ABISKODRY_PADDUS:CTL_1:2014","ABISKO:ABISKODRY_PADDUS:CTL_1",13
"ABISKO:ABISKODRY_PADDUS:CTL_1:2014","ABISKO:ABISKODRY_PADDUS:CTL_1",13
"ABISKO:ABISKODRY_PADDUS:CTL_1:2014","ABISKO:ABISKODRY_PADDUS:CTL_1",13
"ABISKO:ABISKODRY_PADDUS:CTL_1:2014","ABISKO:ABISKODRY_PADDUS:CTL_1",13
"ABISKO:ABISKODRY_PADDUS:CTL_1:2014","ABISKO:ABISKODRY_PADDUS:CTL_1",13
"ABISKO:ABISKODRY_PADDUS:CTL_1:2014","ABISKO:ABISKODRY_PADDUS:CTL_1",13
"ABISKO:ABISKODRY_PADDUS:CTL_2:2008","ABISKO:ABISKODRY_PADDUS:CTL_2",12
"ABISKO:ABISKODRY_PADDUS:CTL_2:2008","ABISKO:ABISKODRY_PADDUS:CTL_2",12
"ABISKO:ABISKODRY_PADDUS:CTL_2:2008","ABISKO:ABISKODRY_PADDUS:CTL_2",12
"ABISKO:ABISKODRY_PADDUS:CTL_2:2008","ABISKO:ABISKODRY_PADDUS:CTL_2",12
"ABISKO:ABISKODRY_PADDUS:CTL_2:2008","ABISKO:ABISKODRY_PADDUS:CTL_2",12
"ABISKO:ABISKODRY_PADDUS:CTL_2:2008","ABISKO:ABISKODRY_PADDUS:CTL_2",12
"ABISKO:ABISKODRY_PADDUS:CTL_2:2008","ABISKO:ABISKODRY_PADDUS:CTL_2",12
"ABISKO:ABISKODRY_PADDUS:CTL_2:2008","ABISKO:ABISKODRY_PADDUS:CTL_2",12
"ABISKO:ABISKODRY_PADDUS:CTL_2:2008","ABISKO:ABISKODRY_PADDUS:CTL_2",12
"ABISKO:ABISKODRY_PADDUS:CTL_2:2008","ABISKO:ABISKODRY_PADDUS:CTL_2",12
"ABISKO:ABISKODRY_PADDUS:CTL_2:2008","ABISKO:ABISKODRY_PADDUS:CTL_2",12
"ABISKO:ABISKODRY_PADDUS:CTL_2:2008","ABISKO:ABISKODRY_PADDUS:CTL_2",12
"ABISKO:ABISKODRY_PADDUS:CTL_2:2014","ABISKO:ABISKODRY_PADDUS:CTL_2",10
"ABISKO:ABISKODRY_PADDUS:CTL_2:2014","ABISKO:ABISKODRY_PADDUS:CTL_2",10
"ABISKO:ABISKODRY_PADDUS:CTL_2:2014","ABISKO:ABISKODRY_PADDUS:CTL_2",10
"ABISKO:ABISKODRY_PADDUS:CTL_2:2014","ABISKO:ABISKODRY_PADDUS:CTL_2",10
"ABISKO:ABISKODRY_PADDUS:CTL_2:2014","ABISKO:ABISKODRY_PADDUS:CTL_2",10
"ABISKO:ABISKODRY_PADDUS:CTL_2:2014","ABISKO:ABISKODRY_PADDUS:CTL_2",10
"ABISKO:ABISKODRY_PADDUS:CTL_2:2014","ABISKO:ABISKODRY_PADDUS:CTL_2",10
"ABISKO:ABISKODRY_PADDUS:CTL_2:2014","ABISKO:ABISKODRY_PADDUS:CTL_2",10
"ABISKO:ABISKODRY_PADDUS:CTL_2:2014","ABISKO:ABISKODRY_PADDUS:CTL_2",10
"ABISKO:ABISKODRY_PADDUS:CTL_2:2014","ABISKO:ABISKODRY_PADDUS:CTL_2",10
"ABISKO:ABISKODRY_PADDUS:CTL_3:2008","ABISKO:ABISKODRY_PADDUS:CTL_3",12
"ABISKO:ABISKODRY_PADDUS:CTL_3:2008","ABISKO:ABISKODRY_PADDUS:CTL_3",12
"ABISKO:ABISKODRY_PADDUS:CTL_3:2008","ABISKO:ABISKODRY_PADDUS:CTL_3",12
"ABISKO:ABISKODRY_PADDUS:CTL_3:2008","ABISKO:ABISKODRY_PADDUS:CTL_3",12
"ABISKO:ABISKODRY_PADDUS:CTL_3:2008","ABISKO:ABISKODRY_PADDUS:CTL_3",12
"ABISKO:ABISKODRY_PADDUS:CTL_3:2008","ABISKO:ABISKODRY_PADDUS:CTL_3",12
"ABISKO:ABISKODRY_PADDUS:CTL_3:2008","ABISKO:ABISKODRY_PADDUS:CTL_3",12
"ABISKO:ABISKODRY_PADDUS:CTL_3:2008","ABISKO:ABISKODRY_PADDUS:CTL_3",12
"ABISKO:ABISKODRY_PADDUS:CTL_3:2008","ABISKO:ABISKODRY_PADDUS:CTL_3",12
"ABISKO:ABISKODRY_PADDUS:CTL_3:2008","ABISKO:ABISKODRY_PADDUS:CTL_3",12
"ABISKO:ABISKODRY_PADDUS:CTL_3:2008","ABISKO:ABISKODRY_PADDUS:CTL_3",12
"ABISKO:ABISKODRY_PADDUS:CTL_3:2008","ABISKO:ABISKODRY_PADDUS:CTL_3",12
"ABISKO:ABISKODRY_PADDUS:CTL_3:2014","ABISKO:ABISKODRY_PADDUS:CTL_3",15
"ABISKO:ABISKODRY_PADDUS:CTL_3:2014","ABISKO:ABISKODRY_PADDUS:CTL_3",15
